Symbol,Security,GICS Sector,GICS Sub Industry,Date first added,CIK
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",11/30/1982,320193
AMAT,Applied Materials Inc.,Information Technology,Semiconductor Equipment,3/16/1995,6951
ANET,Arista Networks,Information Technology,Communications Equipment,8/28/2018,1596532
ADSK,Autodesk Inc.,Information Technology,Application Software,12/1/1989,769397
ADP,Automatic Data Processing,Information Technology,Internet Services & Infrastructure,3/31/1981,8670
AVGO,Broadcom Inc.,Information Technology,Semiconductors,5/8/2014,1730168
BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,6/18/2018,1383312
CDNS,Cadence Design Systems,Information Technology,Application Software,9/18/2017,813672
CDW,CDW,Information Technology,Technology Distributors,9/23/2019,1402057
CSCO,Cisco Systems,Information Technology,Communications Equipment,12/1/1993,858877
CTXS,Citrix Systems,Information Technology,Application Software,12/1/1999,877890
CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,11/17/2006,1058290
GLW,Corning Inc.,Information Technology,Electronic Components,,24741
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,4/4/2017,1688568
FFIV,F5 Networks,Information Technology,Communications Equipment,12/20/2010,1048695
FIS,Fidelity National Information Services,Information Technology,Data Processing & Outsourced Services,11/10/2006,1136893
FISV,Fiserv Inc,Information Technology,Data Processing & Outsourced Services,4/2/2001,798354
FLT,FleetCor Technologies Inc,Information Technology,Data Processing & Outsourced Services,6/20/2018,1175454
FLIR,FLIR Systems,Information Technology,Electronic Equipment & Instruments,1/2/2009,354908
FTNT,Fortinet,Information Technology,Systems Software,10/11/2018,1262039
IT,Gartner Inc,Information Technology,IT Consulting & Other Services,4/5/2017,749251
GPN,Global Payments Inc.,Information Technology,Data Processing & Outsourced Services,4/25/2016,1123360
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",11/2/2015,1645590
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",12/31/1974,47217
INTC,Intel Corp.,Information Technology,Semiconductors,12/31/1976,50863
IBM,International Business Machines,Information Technology,IT Consulting & Other Services,,51143
INTU,Intuit Inc.,Information Technology,Application Software,12/5/2000,896878
IPGP,IPG Photonics Corp.,Information Technology,Electronic Manufacturing Services,3/7/2018,1111928
JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,11/13/2018,779152
JNPR,Juniper Networks,Information Technology,Communications Equipment,,1043604
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,11/6/2018,1601046
KLAC,KLA Corporation,Information Technology,Semiconductor Equipment,,319201
LRCX,Lam Research,Information Technology,Semiconductor Equipment,6/29/2012,707549
LDOS,Leidos Holdings,Information Technology,IT Consulting & Other Services,8/9/2019,1336920
MA,Mastercard Inc.,Information Technology,Data Processing & Outsourced Services,7/18/2008,1141391
MXIM,Maxim Integrated Products Inc,Information Technology,Semiconductors,12/3/2018,743316
MCHP,Microchip Technology,Information Technology,Semiconductors,9/7/2007,827054
MU,Micron Technology,Information Technology,Semiconductors,9/27/1994,723125
MSFT,Microsoft Corp.,Information Technology,Systems Software,6/1/1994,789019
MSI,Motorola Solutions Inc.,Information Technology,Communications Equipment,,68505
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",6/25/1999,1002047
NVDA,Nvidia Corporation,Information Technology,Semiconductors,11/30/2001,1045810
ORCL,Oracle Corp.,Information Technology,Application Software,8/31/1989,1341439
PAYX,Paychex Inc.,Information Technology,Data Processing & Outsourced Services,,723531
PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,7/20/2015,1633917
QRVO,Qorvo,Information Technology,Semiconductors,6/11/2015,1604778
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,,804328
CRM,Salesforce.com,Information Technology,Application Software,9/15/2008,1108524
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",7/2/2012,1137789
SWKS,Skyworks Solutions,Information Technology,Semiconductors,3/12/2015,4127
SYMC,Symantec Corp.,Information Technology,Application Software,3/25/2003,849399
SNPS,Synopsys Inc.,Information Technology,Application Software,3/16/2017,883241
TEL,TE Connectivity Ltd.,Information Technology,Electronic Manufacturing Services,10/17/2011,1385157
TXN,Texas Instruments,Information Technology,Semiconductors,,97476
VRSN,Verisign Inc.,Information Technology,Internet Services & Infrastructure,2/1/2006,1014473
V,Visa Inc.,Information Technology,Data Processing & Outsourced Services,12/21/2009,1403161
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",7/1/2009,106040
WU,Western Union Co,Information Technology,Data Processing & Outsourced Services,,1365135
XRX,Xerox,Information Technology,"Technology Hardware, Storage & Peripherals",,108772
XLNX,Xilinx,Information Technology,Semiconductors,11/8/1999,743988
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,4/30/1985,2969
ALB,Albemarle Corp,Materials,Specialty Chemicals,7/1/2016,915913
AMCR,Amcor plc,Materials,Paper Packaging,6/7/2019,1748790
AVY,Avery Dennison Corp,Materials,Paper Packaging,12/31/1987,8818
BLL,Ball Corp,Materials,Metal & Glass Containers,10/31/1984,9389
CE,Celanese,Materials,Specialty Chemicals,12/24/2018,1306830
CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,8/27/2008,1324404
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,6/3/2019,1755672
DOW,Dow Inc.,Materials,Commodity Chemicals,4/1/2019,1751788
DD,DuPont de Nemours Inc,Materials,Specialty Chemicals,,1666700
EMN,Eastman Chemical,Materials,Diversified Chemicals,1/1/1994,915389
ECL,Ecolab Inc.,Materials,Specialty Chemicals,1/31/1989,31462
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,8/19/2009,37785
FCX,Freeport-McMoRan Inc.,Materials,Copper,,831259
IP,International Paper,Materials,Paper Packaging,,51434
IFF,Intl Flavors & Fragrances,Materials,Specialty Chemicals,3/31/1976,51253
LIN,Linde plc,Materials,Industrial Gases,7/1/1992,1707925
LYB,LyondellBasell,Materials,Specialty Chemicals,9/5/2012,1489393
MLM,Martin Marietta Materials,Materials,Construction Materials,7/2/2014,916076
MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,9/26/2011,1285785
NEM,Newmont Goldcorp,Materials,Gold,6/30/1969,1164727
NUE,Nucor Corp.,Materials,Steel,4/30/1985,73309
PKG,Packaging Corporation of America,Materials,Paper Packaging,7/26/2017,75677
PPG,PPG Industries,Materials,Specialty Chemicals,,79879
SEE,Sealed Air,Materials,Paper Packaging,,1012100
SHW,Sherwin-Williams,Materials,Specialty Chemicals,6/30/1964,89800
VMC,Vulcan Materials,Materials,Construction Materials,6/30/1999,1396009
WRK,WestRock,Materials,Paper Packaging,,1636023
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,3/20/2017,1035443
AMT,American Tower Corp.,Real Estate,Specialized REITs,11/19/2007,1053507
AIV,Apartment Investment & Management,Real Estate,Residential REITs,3/14/2003,922864
AVB,"AvalonBay Communities, Inc.",Real Estate,Residential REITs,1/10/2007,915912
BXP,Boston Properties,Real Estate,Office REITs,4/3/2006,1037540
CBRE,CBRE Group,Real Estate,Real Estate Services,11/10/2006,1138118
CCI,Crown Castle International Corp.,Real Estate,Specialized REITs,3/14/2012,1051470
DLR,Digital Realty Trust Inc,Real Estate,Specialized REITs,5/18/2016,1297996
DRE,Duke Realty Corp,Real Estate,Industrial REITs,7/26/2017,783280
EQIX,Equinix,Real Estate,Specialized REITs,3/20/2015,1101239
EQR,Equity Residential,Real Estate,Residential REITs,12/3/2001,906107
ESS,"Essex Property Trust, Inc.",Real Estate,Residential REITs,4/2/2014,920522
EXR,Extra Space Storage,Real Estate,Specialized REITs,1/19/2016,1289490
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2/1/2016,34903
HCP,HCP Inc.,Real Estate,Health Care REITs,3/31/2008,765880
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,3/20/2007,1070750
IRM,Iron Mountain Incorporated,Real Estate,Specialized REITs,1/6/2009,1020569
KIM,Kimco Realty,Real Estate,Retail REITs,4/4/2006,879101
MAC,Macerich,Real Estate,Retail REITs,5/9/2013,912242
MAA,Mid-America Apartments,Real Estate,Residential REITs,12/2/2016,912595
PLD,Prologis,Real Estate,Industrial REITs,7/17/2003,1045609
PSA,Public Storage,Real Estate,Specialized REITs,8/19/2005,1393311
O,Realty Income Corporation,Real Estate,Retail REITs,4/7/2015,726728
REG,Regency Centers Corporation,Real Estate,Retail REITs,3/2/2017,910606
SBAC,SBA Communications,Real Estate,Specialized REITs,9/1/2017,1034054
SPG,Simon Property Group Inc,Real Estate,Retail REITs,6/26/2002,1063761
SLG,SL Green Realty,Real Estate,Office REITs,3/20/2015,1040971
UDR,"UDR, Inc.",Real Estate,Residential REITs,3/7/2016,74208
VTR,Ventas Inc,Real Estate,Health Care REITs,3/4/2009,740260
VNO,Vornado Realty Trust,Real Estate,Office REITs,,899689
WELL,Welltower Inc.,Real Estate,Health Care REITs,1/30/2009,766704
WY,Weyerhaeuser,Real Estate,Specialized REITs,,106535
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,10/2/1998,874761
LNT,Alliant Energy Corp,Utilities,Electric Utilities,7/1/2016,352541
AEE,Ameren Corp,Utilities,Multi-Utilities,9/19/1991,1002910
AEP,American Electric Power,Utilities,Electric Utilities,,4904
AWK,American Water Works Company Inc,Utilities,Water Utilities,3/4/2016,1410636
ATO,Atmos Energy Corp,Utilities,Gas Utilities,2/15/2019,731802
CNP,CenterPoint Energy,Utilities,Multi-Utilities,7/31/1985,1130310
CMS,CMS Energy,Utilities,Multi-Utilities,5/3/1999,811156
ED,Consolidated Edison,Utilities,Electric Utilities,,1047862
D,Dominion Energy,Utilities,Electric Utilities,,715957
DTE,DTE Energy Co.,Utilities,Multi-Utilities,,936340
DUK,Duke Energy,Utilities,Electric Utilities,6/30/1976,1326160
EIX,Edison Int'l,Utilities,Electric Utilities,,827052
ETR,Entergy Corp.,Utilities,Electric Utilities,,65984
EVRG,Evergy,Utilities,Electric Utilities,6/5/2018,1711269
ES,Eversource Energy,Utilities,Multi-Utilities,,72741
EXC,Exelon Corp.,Utilities,Multi-Utilities,,1109357
FE,FirstEnergy Corp,Utilities,Electric Utilities,,1031296
NEE,NextEra Energy,Utilities,Multi-Utilities,6/30/1976,753308
NI,NiSource Inc.,Utilities,Multi-Utilities,,1111711
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,1/29/2010,1013871
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,,764622
PPL,PPL Corp.,Utilities,Electric Utilities,,922224
PEG,Public Serv. Enterprise Inc.,Utilities,Electric Utilities,,788784
SRE,Sempra Energy,Utilities,Multi-Utilities,,1032208
SO,Southern Co.,Utilities,Electric Utilities,,92122
WEC,Wec Energy Group Inc,Utilities,Electric Utilities,10/31/2008,783325
XEL,Xcel Energy Inc,Utilities,Multi-Utilities,,72903
